California,23667902
New York,17558072
Texas,14229191
Florida,9746324
Pennsylvania,11863895
Illinois,11426518
Ohio,10797630
Michigan,9262078
New Jersey,7364823
North Carolina,5881766
Georgia,5463105
Virginia,5346818
Massachusetts,5737037
Indiana,5490224
Missouri,4916686
Wisconsin,4705767
Tennessee,4591120
Washington,4132156
Maryland,4216975
Minnesota,4075970
Louisiana,4205900
Alabama,3893888
Kentucky,3660777
Arizona,2718215
South Carolina,3121820
Colorado,2889964
Connecticut,3107576
Oklahoma,3025290
Oregon,2633105
Iowa,2913808
Mississippi,2520638
Kansas,2363679
Arkansas,2286435
West Virginia,1949644
Utah,1461037
Nebraska,1569825
New Mexico,1302894
Maine,1124660
Nevada,800493
New Hampshire,920610
Hawaii,964691
Idaho,943935
Rhode Island,947154
Montana,786690
South Dakota,690768
Delaware,594338
North Dakota,652717
Vermont,511456
Alaska,401851
Wyoming,469557
