California,15717204
New York,16782304
Pennsylvania,11319366
Texas,9579677
Illinois,10081158
Ohio,9706397
Michigan,7823194
New Jersey,6066782
Florida,4951560
Massachusetts,5148578
Indiana,4662498
North Carolina,4556155
Missouri,4319813
Virginia,3966949
Georgia,3943116
Wisconsin,3951777
Tennessee,3567089
Maryland,3100689
Minnesota,3413864
Louisiana,3257022
Alabama,3266740
Washington,2853214
Kentucky,3038156
Connecticut,2535234
Iowa,2757537
South Carolina,2382594
Oklahoma,2328284
Kansas,2178611
Mississippi,2178141
Colorado,1753947
Oregon,1768687
Arkansas,1786272
Arizona,1302161
West Virginia,1860421
Nebraska,1411330
Utah,890627
New Mexico,951023
Maine,969265
Rhode Island,859488
Hawaii,632772
New Hampshire,606921
Idaho,667191
Montana,674767
South Dakota,680514
North Dakota,632446
Delaware,446292
Nevada,285278
Vermont,389881
Wyoming,330066
Alaska,226167
